key	FR	EN	DE
- Adding <strong>label(s)</strong>.	- Ajout de <strong>étiquette(s)</strong>.	- Adding <strong>label(s)</strong>.	- Hinzufügen von <strong>Label(s)</strong>.
- Adding <strong>password(s)</strong>.	- Ajout de <strong>mot de passe(s)</strong>.	- Adding <strong>password(s)</strong>.	- Hinzufügen von <strong>Passwort/Passwörtern</strong>.
- Assigning tests to the labels as defined.	- Affectation des tests aux étiquettes comme défini.	- Assigning tests to the labels as defined.	- Zuweisen von Tests zu den definierten Labels.
At least one of the logins you are trying to export has been deleted by another user. Please try a new selection!	Au moins un des logins que vous essayez d'exporter a été supprimé par un autre utilisateur. Veuillez faire une nouvelle sélection !	At least one of the logins you are trying to export has been deleted by another user. Please try a new selection!	Mindestens einer der Logins, die Sie exportieren möchten, wurde von einem anderen Benutzer gelöscht. Bitte treffen Sie eine neue Auswahl!
<p>A student login in OASYS is specifically designed to provide students with access to their personalized user dashboard. Unlike standard logins, which may connect users directly to specific tests, a student login directs the student to a dashboard where they can access all their available and active tests.</p>	<p>Un identifiant élève dans OASYS est spécialement conçu pour offrir aux élèves un accès à leur tableau de bord personnalisé. Contrairement aux identifiants standard, qui peuvent connecter les utilisateurs directement à des tests spécifiques, un identifiant élève dirige l'élève vers un tableau de bord où il peut accéder à tous les tests disponibles et actifs.</p>	<p>A student login in OASYS is specifically designed to provide students with access to their personalized user dashboard. Unlike standard logins, which may connect users directly to specific tests, a student login directs the student to a dashboard where they can access all their available and active tests.</p>	<p>Ein Schüler-Login in OASYS ist speziell dafür konzipiert, den Schülern Zugriff auf ihr personalisiertes Benutzer-Dashboard zu ermöglichen. Im Gegensatz zu Standard-Logins, die Benutzer direkt mit bestimmten Tests verbinden können, führt ein Schüler-Login den Schüler zu einem Dashboard, auf dem er Zugriff auf alle verfügbaren und aktiven Tests hat.</p>
<p>When logging in as a student, there are three available authentication methods:</p><ul><li><strong>Direct Password</strong>: A password is set here within the OASYS system. Students will use this password to log in directly.</li><li><strong>SAML</strong>: This method uses SAML (Security Assertion Markup Language) authentication. It's typically used for single sign-on (SSO) across different systems. The student’s identity is authenticated by an external identity provider.</li><li><strong>LDAP</strong>: LDAP (Lightweight Directory Access Protocol) is used for authentication via an LDAP directory. This method allows students to log in using their LDAP credentials, which are usually managed by an organization's central directory.</li></ul><p>Please select the appropriate authentication method for your institution's needs.</p>	<p>Lors de la connexion en tant qu'élève, trois méthodes d'authentification sont disponibles :</p><ul><li><strong>Mot de passe direct</strong> : Un mot de passe est défini ici dans le système OASYS. Les élèves utiliseront ce mot de passe pour se connecter directement.</li><li><strong>SAML</strong> : Cette méthode utilise l'authentification SAML (Security Assertion Markup Language). Elle est généralement utilisée pour l'authentification unique (SSO) entre différents systèmes. L'identité de l'élève est authentifiée par un fournisseur d'identité externe.</li><li><strong>LDAP</strong> : LDAP (Lightweight Directory Access Protocol) est utilisé pour l'authentification via un annuaire LDAP. Cette méthode permet aux élèves de se connecter en utilisant leurs identifiants LDAP, qui sont généralement gérés par l'annuaire central d'une organisation.</li></ul><p>Veuillez sélectionner la méthode d'authentification appropriée pour les besoins de votre établissement.</p>	<p>When logging in as a student, there are three available authentication methods:</p><ul><li><strong>Direct Password</strong>: A password is set here within the OASYS system. Students will use this password to log in directly.</li><li><strong>SAML</strong>: This method uses SAML (Security Assertion Markup Language) authentication. It's typically used for single sign-on (SSO) across different systems. The student’s identity is authenticated by an external identity provider.</li><li><strong>LDAP</strong>: LDAP (Lightweight Directory Access Protocol) is used for authentication via an LDAP directory. This method allows students to log in using their LDAP credentials, which are usually managed by an organization's central directory.</li></ul><p>Please select the appropriate authentication method for your institution's needs.</p>	<p>Beim Einloggen als Schüler stehen drei Authentifizierungsmethoden zur Verfügung:</p><ul><li><strong>Direktes Passwort</strong>: Ein Passwort wird hier im OASYS-System festgelegt. Die Schüler verwenden dieses Passwort, um sich direkt einzuloggen.</li><li><strong>SAML</strong>: Diese Methode verwendet die SAML (Security Assertion Markup Language)-Authentifizierung. Sie wird typischerweise für Single Sign-On (SSO) über verschiedene Systeme hinweg verwendet. Die Identität des Schülers wird von einem externen Identitätsanbieter authentifiziert.</li><li><strong>LDAP</strong>: LDAP (Lightweight Directory Access Protocol) wird für die Authentifizierung über ein LDAP-Verzeichnis verwendet. Diese Methode ermöglicht es den Schülern, sich mit ihren LDAP-Zugangsdaten einzuloggen, die normalerweise vom zentralen Verzeichnis einer Organisation verwaltet werden.</li></ul><p>Bitte wählen Sie die für die Bedürfnisse Ihrer Institution geeignete Authentifizierungsmethode aus.</p>
Direct password	Mot de passe direct	Direct password	Direktes Passwort
Show locked objects in file managers:	Afficher les objets verrouillés dans les gestionnaires de fichiers :	Show locked objects in file managers:	Gesperrte Objekte in Dateimanagern anzeigen:
Order of editor blocks in interaction editors:	Ordre des blocs d'éditeur dans les éditeurs d'interaction :	Order of editor blocks in interaction editors:	Reihenfolge der Editor-Blöcke in Interaktionseditoren:
Skin to use for preview & default for new tests:	Skin à utiliser pour l'aperçu et par défaut pour les nouveaux tests :	Skin to use for preview & default for new tests:	Default Skin für die Vorschau und neu angelegte Tests:
The preview cannot be launched because the test structure is either empty or contains deleted pages or pools. Please review and update the structure.	L'aperçu ne peut pas être lancé car la structure du test est soit vide, soit contient des pages ou des pools supprimés. Veuillez vérifier et mettre à jour la structure.	The preview cannot be launched because the test structure is either empty or contains deleted pages or pools. Please review and update the structure.	Die Vorschau kann nicht gestartet werden, da die Teststruktur entweder leer ist oder gelöschte Seiten oder Pools enthält. Bitte überprüfen und aktualisieren Sie die Struktur.
Contains manual scoring items	Contient des éléments à évaluer manuellement	Contains manual scoring items	Enthält manuell zu bewertende Elemente
answers order	Ordre des réponses	answers order	Antwortreihenfolge
answer options	Options de réponse	answer options	Antwortoptionen
add distractor	ajouter un distracteur	add distractor	Distraktor hinzufügen
Field not defined in current language	Champ non défini dans la langue actuelle	Field not defined in current language	Feld in aktueller Sprache nicht definiert
The privacy note is enabled for this test, but no content has been provided or content for the active language(s) is missing!	L’avis de confidentialité est activé pour ce test, mais aucun contenu n’a été fourni ou le contenu pour la/les langue(s) active(s) est manquant !	The privacy note is enabled for this test, but no content has been provided or content for the active language(s) is missing!	Der Datenschutzhinweis ist für diesen Test aktiviert, aber es wurden keine Inhalte bereitgestellt oder Inhalte für die aktive(n) Sprache(n) fehlen!
This test contains duplicate test pages!	Ce test contient des pages de test en double !	This test contains duplicate test pages!	Dieser Test enthält doppelte Testseiten!
This test contains test blocks with duplicate test pages!	Ce test contient des blocs de test avec des pages de test en double !	This test contains test blocks with duplicate test pages!	Dieser Test enthält Testblöcke mit doppelten Testseiten!
Warning: The same test page has been added multiple times!	Avertissement : La même page de test a été ajoutée plusieurs fois !	Warning: The same test page has been added multiple times!	Warnung: Dieselbe Testseite wurde mehrfach hinzugefügt!
Error: The privacy note is enabled for this test, but no content has been provided or content for the active language(s) is missing!	Erreur : L’avis de confidentialité est activé pour ce test, mais aucun contenu n’a été fourni ou le contenu pour la/les langue(s) active(s) est manquant !	Error: The privacy note is enabled for this test, but no content has been provided or content for the active language(s) is missing!	Fehler: Der Datenschutzhinweis ist für diesen Test aktiviert, aber es wurden keine Inhalte bereitgestellt oder Inhalte für die aktive(n) Sprache(n) fehlen!
Warning: There are duplicate test pages in your test pools!	Avertissement : Il y a des pages de test en double dans vos pools de test !	Warning: There are duplicate test pages in your test pools!	Warnung: Es gibt doppelte Testseiten in Ihren Test-Pools!
Test pool	Pool de test	Test pool	Testpool
Occurrences	Occurrences	Occurrences	Vorkommen
<i>Field not defined in current language</i>	<i>Champ non défini dans la langue actuelle</i>	<i>Field not defined in current language</i>	<i>Feld in der aktuellen Sprache nicht definiert</i>
Delete all images?	Supprimer toutes les images ?	Delete all images?	Alle Bilder löschen?
Are you sure you want to delete all images of this page group? This action is irreversible!	Êtes-vous sûr de vouloir supprimer toutes les images de ce groupe de pages ? Cette action est irréversible !	Are you sure you want to delete all images of this page group? This action is irreversible!	Sind Sie sicher, dass Sie alle Bilder dieser Seitengruppe löschen möchten? Diese Aktion ist nicht rückgängig zu machen!
Delete all audio files?	Supprimer tous les fichiers audio ?	Delete all audio files?	Alle Audiodateien löschen?
Are you sure you want to delete all audio files of this page group? This action is irreversible!	Êtes-vous sûr de vouloir supprimer tous les fichiers audio de ce groupe de pages ? Cette action est irréversible !	Are you sure you want to delete all audio files of this page group? This action is irreversible!	Sind Sie sicher, dass Sie alle Audiodateien dieser Seitengruppe löschen möchten? Diese Aktion ist nicht rückgängig zu machen!
Delete all video files?	Supprimer toutes les vidéos ?	Delete all video files?	Alle Videodateien löschen?
Are you sure you want to delete all video files of this page group? This action is irreversible!	Êtes-vous sûr de vouloir supprimer toutes les vidéos de ce groupe de pages ? Cette action est irréversible !	Are you sure you want to delete all video files of this page group? This action is irreversible!	Sind Sie sicher, dass Sie alle Videodateien dieser Seitengruppe löschen möchten? Diese Aktion ist nicht rückgängig zu machen!
Error uploading file. File extension does not match the MIME type:	Erreur lors du téléchargement du fichier. L’extension du fichier ne correspond pas au type MIME :	Error uploading file. File extension does not match the MIME type:	Fehler beim Hochladen der Datei. Die Dateierweiterung stimmt nicht mit dem MIME-Typ überein:
Media Manager	Gestion médias	Media Manager	Media-Manager
Only one file can be uploaded at a time. Please try again.	Un seul fichier peut être téléchargé à la fois. Veuillez réessayer.	Only one file can be uploaded at a time. Please try again.	Es kann immer nur eine Datei gleichzeitig hochgeladen werden. Bitte versuchen Sie es erneut.
Image Library<span id=mediaHelp></span>	Bibliothèque d'images<span id=mediaHelp></span>	Image Library<span id=mediaHelp></span>	Bildbibliothek<span id=mediaHelp></span>
<p><strong>Image Upload Help</strong><br>You are in the media uploader for image interactions. Only single uploads are possible. You can still upload an audio or video file, but it will not be shown in the file manager for images.</p><table><tr><th><strong>Supported Image Formats</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td></tr></table>	<p><strong>Aide au téléversement d'images</strong><br>Vous êtes dans le téléverseur de médias pour les interactions avec des images. Seuls les téléversements uniques sont possibles. Vous pouvez tout de même téléverser un fichier audio ou vidéo, mais il ne sera pas affiché dans le gestionnaire de fichiers pour les images.</p><table><tr><th><strong>Formats d'images pris en charge</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td></tr></table>	<p><strong>Image Upload Help</strong><br>You are in the media uploader for image interactions. Only single uploads are possible. You can still upload an audio or video file, but it will not be shown in the file manager for images.</p><table><tr><th><strong>Supported Image Formats</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td></tr></table>	<p><strong>Hilfe zum Hochladen von Bildern</strong><br>Sie befinden sich im Medien-Uploader für Bildinteraktionen. Es sind nur Einzeluploads möglich. Sie können trotzdem eine Audio- oder Videodatei hochladen, diese wird jedoch nicht im Dateimanager für Bilder angezeigt.</p><table><tr><th><strong>Unterstützte Bildformate</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td></tr></table>
<p><strong>Audio Upload Help</strong><br>You are in the media uploader for audio interactions. Only single uploads are possible. You can still upload an image or video file, but it will not be shown in the file manager for audio files.</p><table><tr><th><strong>Supported Audio Formats</strong></th></tr><tr><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Aide au téléversement audio</strong><br>Vous êtes dans le téléverseur de médias pour les interactions avec des fichiers audio. Seuls les téléversements uniques sont possibles. Vous pouvez tout de même téléverser un fichier image ou vidéo, mais il ne sera pas affiché dans le gestionnaire de fichiers pour les fichiers audio.</p><table><tr><th><strong>Formats audio pris en charge</strong></th></tr><tr><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Audio Upload Help</strong><br>You are in the media uploader for audio interactions. Only single uploads are possible. You can still upload an image or video file, but it will not be shown in the file manager for audio files.</p><table><tr><th><strong>Supported Audio Formats</strong></th></tr><tr><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Hilfe zum Hochladen von Audiodateien</strong><br>Sie befinden sich im Medien-Uploader für Audiointeraktionen. Es sind nur Einzeluploads möglich. Sie können trotzdem eine Bild- oder Videodatei hochladen, diese wird jedoch nicht im Dateimanager für Audiodateien angezeigt.</p><table><tr><th><strong>Unterstützte Audioformate</strong></th></tr><tr><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td></tr></table>
<p><strong>Video Upload Help</strong><br>You are in the media uploader for video interactions. Only single uploads are possible. You can still upload an image or audio file, but it will not be shown in the file manager for video files.</p><table><tr><th><strong>Supported Video Formats</strong></th></tr><tr><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Aide au téléversement vidéo</strong><br>Vous êtes dans le téléverseur de médias pour les interactions avec des vidéos. Seuls les téléversements uniques sont possibles. Vous pouvez tout de même téléverser un fichier image ou audio, mais il ne sera pas affiché dans le gestionnaire de fichiers pour les vidéos.</p><table><tr><th><strong>Formats vidéo pris en charge</strong></th></tr><tr><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Video Upload Help</strong><br>You are in the media uploader for video interactions. Only single uploads are possible. You can still upload an image or audio file, but it will not be shown in the file manager for video files.</p><table><tr><th><strong>Supported Video Formats</strong></th></tr><tr><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table>	<p><strong>Hilfe zum Hochladen von Videodateien</strong><br>Sie befinden sich im Medien-Uploader für Videointeraktionen. Es sind nur Einzeluploads möglich. Sie können trotzdem eine Bild- oder Audiodatei hochladen, diese wird jedoch nicht im Dateimanager für Videodateien angezeigt.</p><table><tr><th><strong>Unterstützte Videoformate</strong></th></tr><tr><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table>
<p><strong>Media Upload Help</strong><br>This guide provides information on supported media formats. Please ensure your files match the following formats. You can upload multiple files at once in the main media manager. However, when using the media manager in interactions, only single file uploads are possible.</p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>If your file is not in one of these formats, please convert it before uploading.</p>	<p><strong>Aide au téléversement de médias</strong><br>Ce guide fournit des informations sur les formats de médias pris en charge. Veuillez vous assurer que vos fichiers correspondent aux formats suivants. Vous pouvez téléverser plusieurs fichiers à la fois dans le gestionnaire principal de médias. Cependant, lors de l'utilisation du gestionnaire de médias dans les interactions, seuls les téléversements uniques sont possibles.</p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Vidéo</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>Si votre fichier n'est pas dans l'un de ces formats, veuillez le convertir avant de le téléverser.</p>	<p><strong>Media Upload Help</strong><br>This guide provides information on supported media formats. Please ensure your files match the following formats. You can upload multiple files at once in the main media manager. However, when using the media manager in interactions, only single file uploads are possible.</p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>If your file is not in one of these formats, please convert it before uploading.</p>	<p><strong>Hilfe zum Hochladen von Medien</strong><br>Diese Anleitung bietet Informationen zu unterstützten Medienformaten. Bitte stellen Sie sicher, dass Ihre Dateien den folgenden Formaten entsprechen. Sie können mehrere Dateien gleichzeitig im Haupt-Medienmanager hochladen. Beim Verwenden des Medienmanagers in Interaktionen sind jedoch nur Einzeluploads möglich.</p><table><tr><th><strong>Bilder</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>Wenn Ihre Datei nicht in einem dieser Formate vorliegt, konvertieren Sie sie bitte vor dem Hochladen.</p>
<p><strong>Media Upload Help</strong><br>This guide provides information on supported media formats. Please ensure your files match the following formats. </p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>If your file is not in one of these formats, please convert it before uploading.</p>	<p><strong>Aide au téléversement de médias</strong><br>Ce guide fournit des informations sur les formats de médias pris en charge. Veuillez vous assurer que vos fichiers correspondent aux formats suivants.</p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Vidéo</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>Si votre fichier n'est pas dans l'un de ces formats, veuillez le convertir avant de le téléverser.</p>	<p><strong>Media Upload Help</strong><br>This guide provides information on supported media formats. Please ensure your files match the following formats. </p><table><tr><th><strong>Images</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>If your file is not in one of these formats, please convert it before uploading.</p>	<p><strong>Hilfe zum Hochladen von Medien</strong><br>Diese Anleitung bietet Informationen zu unterstützten Medienformaten. Bitte stellen Sie sicher, dass Ihre Dateien den folgenden Formaten entsprechen.</p><table><tr><th><strong>Bilder</strong></th><th><strong>Audio</strong></th><th><strong>Video</strong></th></tr><tr><td>- JPEG (.jpg, .jpeg)<br>- PNG (.png)<br>- GIF (.gif)<br>- SVG (.svg)<br>- WEBP (.webp)<br>- AVIF (.avif)</td><td>- MP3 (.mp3)<br>- WAV (.wav)<br>- AAC (.aac)<br>- M4A (.m4a)<br>- WEBM (.webm)</td><td>- MP4 (.mp4)<br>- M4V (.m4v)<br>- WEBM (.webm)</td></tr></table><p>Wenn Ihre Datei nicht in einem dieser Formate vorliegt, konvertieren Sie sie bitte vor dem Hochladen.</p>
Supported media types	Types de médias pris en charge	Supported media types	Unterstützte Medientypen
You are in an interaction that only allows uploading one media file at a time. Please go to the main media manager to bulk upload files.	Vous êtes dans une interaction qui ne permet de téléverser qu'un seul fichier multimédia à la fois. Veuillez accéder au gestionnaire principal de médias pour téléverser plusieurs fichiers à la fois.	You are in an interaction that only allows uploading one media file at a time. Please go to the main media manager to bulk upload files.	Sie befinden sich in einer Interaktion, die das Hochladen von nur einer Mediendatei gleichzeitig erlaubt. Bitte wechseln Sie zum Haupt-Medienmanager, um Dateien in größeren Mengen hochzuladen.
"The following file(s) could not be uploaded, as they do not match one of the accepted file formats. <span id=""invalidFiles"">What formats are accepted</span>"	"Les fichiers suivants n'ont pas pu être téléversés, car ils ne correspondent pas à l'un des formats de fichier acceptés. <span id=""invalidFiles"">Quels formats sont acceptés</span>"	"The following file(s) could not be uploaded, as they do not match one of the accepted file formats. <span id=""invalidFiles"">What formats are accepted</span>"	"Die folgenden Datei(en) konnten nicht hochgeladen werden, da sie nicht mit einem der akzeptierten Dateiformate übereinstimmen. <span id=""invalidFiles"">Welche Formate werden akzeptiert</span>"
The uploaded media file is of type	Le fichier multimédia téléversé est de type 	The uploaded media file is of type	Die hochgeladene Mediendatei ist vom Typ
but your current media browser view is set to	mais votre vue actuelle du navigateur multimédia est définie sur	but your current media browser view is set to	aber Ihre aktuelle Medienbrowser-Ansicht ist eingestellt auf
Please switch to a corresponding interaction or the main media manager to see the uploaded file.	Veuillez passer à une interaction correspondante ou au gestionnaire de médias principal pour voir le fichier téléchargé.	Please switch to a corresponding interaction or the main media manager to see the uploaded file.	Bitte wechseln Sie zu einer entsprechenden Interaktion oder zum Haupt-Medienmanager, um die hochgeladene Datei zu sehen.
Audio Library<span id=mediaHelp></span>	Bibliothèque audio<span id=mediaHelp></span>	Audio Library<span id=mediaHelp></span>	Audio-Bibliothek<span id=mediaHelp></span>
Video Library<span id=mediaHelp></span>	Bibliothèque vidéo<span id=mediaHelp></span>	Video Library<span id=mediaHelp></span>	Video-Bibliothek<span id=mediaHelp></span>
Media Library<span id=mediaHelp></span>	Bibliothèque de médias<span id=mediaHelp></span>	Media Library<span id=mediaHelp></span>	Medienbibliothek<span id=mediaHelp></span>
<p>A test taker template in OASYS is a reusable login that can be connected to one or more passwords and linked to one or more tests. Each time a user logs in with a template, OASYS automatically clones this template in the background to create a standard login. These cloned logins are displayed in the test taker manager, allowing for easy tracking and management.</p><p>This functionality enables the ability to track results from questionnaires and tests efficiently in the results manager, as each login instance is uniquely identified and recorded.</p>	<p>Un modèle de participant au test dans OASYS est une connexion réutilisable qui peut être associée à un ou plusieurs mots de passe et liée à un ou plusieurs tests. Chaque fois qu'un utilisateur se connecte avec un modèle, OASYS clone automatiquement ce modèle en arrière-plan pour créer une connexion standard. Ces connexions clonées sont affichées dans le gestionnaire de participants au test, permettant un suivi et une gestion faciles.</p><p>Cette fonctionnalité permet de suivre efficacement les résultats des questionnaires et des tests dans le gestionnaire de résultats, car chaque instance de connexion est identifiée et enregistrée de manière unique.</p>	<p>A test taker template in OASYS is a reusable login that can be connected to one or more passwords and linked to one or more tests. Each time a user logs in with a template, OASYS automatically clones this template in the background to create a standard login. These cloned logins are displayed in the test taker manager, allowing for easy tracking and management.</p><p>This functionality enables the ability to track results from questionnaires and tests efficiently in the results manager, as each login instance is uniquely identified and recorded.</p>	<p>Ein Testteilnehmer-Template in OASYS ist ein wiederverwendbares Login, das mit einem oder mehreren Passwörtern und Tests verknüpft werden kann. Jedes Mal, wenn ein Benutzer sich mit einem Template anmeldet, klont OASYS dieses Template im Hintergrund, um ein Standard-Login zu erstellen. Diese geklonten Logins werden im Testteilnehmer-Manager angezeigt, was eine einfache Nachverfolgung und Verwaltung ermöglicht.</p><p>Diese Funktionalität ermöglicht eine effiziente Nachverfolgung der Ergebnisse von Fragebögen und Tests im Ergebnismanager, da jede Login-Instanz eindeutig identifiziert und aufgezeichnet wird.</p>
<p>A standard login in OASYS is designed to connect users directly to specific tests. This type of login can have one or more passwords, each of which is linked to one or more tests. When a user logs in with a standard login, they are immediately connected to the tests associated with their credentials.</p><p>This setup is ideal for situations where users need direct access to specific tests without additional navigation.</p>	<p>Une connexion standard dans OASYS est conçue pour connecter les utilisateurs directement à des tests spécifiques. Ce type de connexion peut avoir un ou plusieurs mots de passe, chacun étant lié à un ou plusieurs tests. Lorsqu'un utilisateur se connecte avec une connexion standard, il est immédiatement relié aux tests associés à ses identifiants.</p><p>Cette configuration est idéale pour les situations où les utilisateurs ont besoin d'un accès direct à des tests spécifiques sans navigation supplémentaire.</p>	<p>A standard login in OASYS is designed to connect users directly to specific tests. This type of login can have one or more passwords, each of which is linked to one or more tests. When a user logs in with a standard login, they are immediately connected to the tests associated with their credentials.</p><p>This setup is ideal for situations where users need direct access to specific tests without additional navigation.</p>	<p>Ein Standard-Login in OASYS ist so gestaltet, dass Benutzer direkt mit bestimmten Tests verbunden werden. Dieser Login-Typ kann ein oder mehrere Passwörter haben, von denen jedes mit einem oder mehreren Tests verknüpft ist. Wenn sich ein Benutzer mit einem Standard-Login anmeldet, wird er sofort mit den Tests verbunden, die mit seinen Anmeldedaten verknüpft sind.</p><p>Diese Einrichtung ist ideal für Situationen, in denen Benutzer direkten Zugriff auf bestimmte Tests benötigen, ohne zusätzliche Navigation.</p>
"Are you sure you want to reset <strong>all</strong> results of the label ""%@""? This action is irreversible!"	Êtes-vous sûr de vouloir réinitialiser <strong>tous</strong> les résultats du label « %@ » ? Cette action est irréversible !	"Are you sure you want to reset <strong>all</strong> results of the label ""%@""? This action is irreversible!"	Sind Sie sicher, dass Sie <strong>alle</strong> Ergebnisse des Labels „%@“ zurücksetzen möchten? Diese Aktion kann nicht rückgängig gemacht werden!
Results have already been recorded for this test. You can add or remove assigned linear tests in a mutation test without affecting existing results. However, ensure that the linear tests themselves are not modified, as this might impact result accessibility.	Des résultats ont déjà été enregistrés pour ce test. Vous pouvez ajouter ou supprimer des tests linéaires assignés dans le cadre d’un test de mutation sans affecter les résultats existants. Cependant, assurez-vous que les tests linéaires eux-mêmes ne soient pas modifiés, car cela pourrait avoir un impact sur l’accessibilité des résultats.	Results have already been recorded for this test. You can add or remove assigned linear tests in a mutation test without affecting existing results. However, ensure that the linear tests themselves are not modified, as this might impact result accessibility.	Für diesen Test wurden bereits Ergebnisse aufgezeichnet. Sie können im Rahmen eines Mutationstests zugewiesene lineare Tests hinzufügen oder entfernen, ohne die bestehenden Ergebnisse zu beeinflussen. Stellen Sie jedoch sicher, dass die linearen Tests selbst nicht geändert werden, da dies die Zugänglichkeit der Ergebnisse beeinträchtigen könnte.
